2.3726e+09,0.033748,0.32754
2.3727e+09,0.067495,0.37034
2.3727e+09,0.10124,0.32496
2.3728e+09,0.13499,0.42976
2.3728e+09,0.16874,0.39797
2.3729e+09,0.20249,0.37823
2.373e+09,0.23623,0.41473
2.373e+09,0.26998,0.3754
2.3731e+09,0.30373,0.32417
2.3732e+09,0.33748,0.37996
2.3732e+09,0.37122,0.32714
2.3733e+09,0.40497,0.37634
2.3733e+09,0.43872,0.42465
2.3734e+09,0.47247,0.26163
2.3735e+09,0.50621,0.31866
2.3735e+09,0.53996,0.37972
2.3736e+09,0.57371,0.37947
2.3737e+09,0.60746,0.42916
2.3737e+09,0.6412,0.30988
2.3738e+09,0.67495,0.31187
2.3738e+09,0.7087,0.38745
2.3739e+09,0.74245,0.35164
2.374e+09,0.77619,0.31588
2.374e+09,0.80994,0.42118
2.3741e+09,0.84369,0.30294
2.3742e+09,0.87744,0.38021
2.3742e+09,0.91118,0.42748
2.3743e+09,0.94493,0.32089
2.3743e+09,0.97868,0.34941
2.3744e+09,1.0124,0.42743
2.3745e+09,1.0462,0.31767
2.3745e+09,1.0799,0.40898
2.3746e+09,1.1137,0.38939
2.3747e+09,1.1474,0.36439
2.3747e+09,1.1812,0.37872
2.3748e+09,1.2149,0.31063
2.3749e+09,1.2487,0.41156
2.3749e+09,1.2824,0.38998
2.375e+09,1.3162,0.41468
2.375e+09,1.3499,0.3381
2.3751e+09,1.3837,0.36707
2.3752e+09,1.4174,0.40566
2.3752e+09,1.4511,0.40977
2.3753e+09,1.4849,0.30864
2.3754e+09,1.5186,0.41677
2.3754e+09,1.5524,0.30691
2.3755e+09,1.5861,0.33314
2.3755e+09,1.6199,0.33503
2.3756e+09,1.6536,0.36637
2.3757e+09,1.6874,0.36092
2.3757e+09,1.7211,0.31296
2.3758e+09,1.7549,0.36256
2.3759e+09,1.7886,0.30745
2.3764e+09,1.8224,0.33949
2.3764e+09,1.7886,0.32342
2.3765e+09,1.7549,0.42187
2.3765e+09,1.7211,0.36047
2.3766e+09,1.6874,0.36742
2.3767e+09,1.6536,0.35407
2.3767e+09,1.6199,0.35526
2.3768e+09,1.5861,0.42763
2.3769e+09,1.5524,0.43229
2.3769e+09,1.5186,0.38249
2.377e+09,1.4849,0.31737
2.377e+09,1.4511,0.26708
2.3771e+09,1.4174,0.35576
2.3772e+09,1.3837,0.31777
2.3772e+09,1.3499,0.33022
2.3773e+09,1.3162,0.31861
2.3774e+09,1.2824,0.38115
2.3774e+09,1.2487,0.36578
2.3775e+09,1.2149,0.38889
2.3775e+09,1.1812,0.42331
2.3776e+09,1.1474,0.36533
2.3777e+09,1.1137,0.44062
2.3777e+09,1.0799,0.32952
2.3778e+09,1.0462,0.3633
2.3779e+09,1.0124,0.38165
2.3779e+09,0.97868,0.314
2.378e+09,0.94493,0.31246
2.3781e+09,0.91118,0.35194
2.3781e+09,0.87744,0.37158
2.3782e+09,0.84369,0.36801
2.3782e+09,0.80994,0.37401
2.3783e+09,0.77619,0.35348
2.3784e+09,0.74245,0.36454
2.3784e+09,0.7087,0.35442
2.3785e+09,0.67495,0.42153
2.3786e+09,0.6412,0.33111
2.3786e+09,0.60746,0.29952
2.3787e+09,0.57371,0.40323
2.3787e+09,0.53996,0.35804
2.3788e+09,0.50621,0.33622
2.3789e+09,0.47247,0.37376
2.3789e+09,0.43872,0.40189
2.379e+09,0.40497,0.32119
2.3791e+09,0.37122,0.32933
2.3791e+09,0.33748,0.43978
2.3792e+09,0.30373,0.31221
2.3792e+09,0.26998,0.37124
2.3793e+09,0.23623,0.46061
2.3794e+09,0.20249,0.35948
2.3794e+09,0.16874,0.32734
2.3795e+09,0.13499,0.37917
2.3796e+09,0.10124,0.36246
